"species","trt","doy","stm.length_cm","flowers_g","gr.leaves_g","dead.leaves_g","stm_g","crown_g","agb_g","main.roots_g","adv.roots_g","moment"
"A","ctrl",237,89.0283333333333,0,3.79554,0.50094,9.2511,0.95226,13.54758,1.17078,0.10752,"post-recovery"
"A","ctrl",237,62.335,0,2.91978,1.47822,7.77822,1.07184,12.17622,1.4148,0.27396,"post-recovery"
"A","ctrl",237,73.8616666666667,0,2.60514,0.4485,5.592,0.69018,8.64564,0.93726,0.08868,"post-recovery"
"A","ctrl",237,94.4125,0.19632,3.0393,1.40616,9.25962,1.13646,13.9014,1.48578,0.03888,"post-recovery"
"A","ctrl",237,83.0375,0,3.56244,1.18266,9.13878,1.60332,13.88388,1.3635,0.11184,"post-recovery"
"A","ctrl",237,80.3075,0,1.65984,0.22896,3.7692,0.57366,5.658,0.50352,0.04302,"post-recovery"
"A","ctrl",237,101.01,0,2.29518,0.29748,6.66744,0.65076,9.2601,0.54606,0.12516,"post-recovery"
"A","ctrl",237,84.7816666666667,0,2.35104,0.75072,6.15228,0.9612,9.25404,1.09482,0.22836,"post-recovery"
"A","ctrl",237,75.4541666666667,0,3.27912,1.00902,6.65142,1.14978,10.93956,1.13682,0.20514,"post-recovery"
"A","ctrl",237,77.805,0,2.16246,0.3597,5.86008,0.82968,8.38224,0.90702,0.0285,"post-recovery"
"A","ctrl",237,71.435,0,3.63282,1.04364,8.08026,1.37658,12.75672,1.4895,0.11604,"post-recovery"
"A","ctrl",237,77.805,0,2.04606,0.2211,5.30232,0.58914,7.56948,0.76578,0.14676,"post-recovery"
"C","ctrl",237,60.515,0.19458,2.27844,1.00038,6.8439,0.4995,10.3173,2.56512,0,"post-recovery"
"C","ctrl",237,94.9433333333333,1.46424,2.35686,0.6279,8.35854,0.31392,12.80754,1.42602,0,"post-recovery"
"C","ctrl",237,66.0508333333333,0.21456,3.29808,1.0917,9.35796,0.69084,13.9623,3.46254,0,"post-recovery"
"C","ctrl",237,99.4933333333333,0.00942,2.95428,0.7398,7.14432,0.40944,10.84782,3.0981,0,"post-recovery"
"C","ctrl",237,56.875,0,2.11332,0.47838,5.05536,0.30396,7.64706,1.2225,0,"post-recovery"
"C","ctrl",237,81.1416666666667,0.38472,2.42532,0.67296,5.59434,0.5931,9.07734,3.53574,0,"post-recovery"
"C","ctrl",237,72.9516666666667,0.1362,2.52894,0.63588,6.23412,0.72294,9.53514,3.48144,0,"post-recovery"
"C","ctrl",237,92.2133333333333,0.59484,3.13248,0.9486,8.8155,0.22914,13.49142,2.439,0,"post-recovery"
"C","ctrl",237,95.7016666666667,0.03726,2.44686,0.54738,5.85612,0.36498,8.88762,1.63056,0,"post-recovery"
"C","ctrl",237,109.579166666667,0.48612,2.02644,0.81258,7.79106,0.31464,11.1162,1.16748,0,"post-recovery"
"C","ctrl",237,70.7525,0.08484,2.77722,0.9903,7.4673,0.62436,11.31966,2.709,0,"post-recovery"
"C","ctrl",237,59.15,0.08268,2.72994,0.73818,5.86908,0.6009,9.41988,2.92812,0,"post-recovery"
